"Attrition","Age","MonthlyIncome","PercentSalaryHike","PerformanceRating","JobLevel","TotalWorkingYears","Education","EnvironmentSatisfaction","TrainingTimesLastYear","RelationshipSatisfaction","JobSatisfaction","DistanceFromHome","WorkLifeBalance","JobInvolvement","StockOptionLevel","NumCompaniesWorked","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Gender","OverTime","EducationField","BusinessTravel","Department","MaritalStatus","JobRole","HourlyRate","DailyRate","MonthlyRate"
1,48,5381,13,3,3,23,2,1,2,4,3,1,3,2,0,9,1,0,0,0,"1","1","Life Sciences","Travel_Rarely","Research & Development","Single","Laboratory Technician",98,626,19294
1,28,3441,13,3,1,2,4,3,3,3,3,5,2,3,0,1,2,2,2,2,"1","1","Technical Degree","Travel_Rarely","Research & Development","Single","Laboratory Technician",50,1434,11179
0,44,5454,21,4,2,9,5,2,2,3,1,1,2,3,1,5,4,3,1,3,"0","1","Marketing","Travel_Rarely","Sales","Divorced","Sales Executive",75,1488,4009
0,35,9884,13,3,3,10,2,3,3,3,1,11,3,2,1,2,4,0,2,3,"1","1","Medical","Non-Travel","Research & Development","Married","Healthcare Representative",79,1097,8302
0,26,4157,19,3,2,5,3,3,2,3,4,23,2,2,1,7,2,2,0,0,"0","1","Marketing","Travel_Rarely","Sales","Married","Sales Executive",47,1443,21436
0,33,13458,12,3,3,15,2,1,1,3,4,1,3,3,0,1,15,14,8,12,"0","1","Life Sciences","Travel_Frequently","Research & Development","Single","Research Director",98,515,15146
0,35,9069,22,4,3,9,5,2,3,4,1,18,2,3,1,1,9,8,1,8,"1","0","Life Sciences","Travel_Frequently","Sales","Married","Sales Executive",71,853,11031
0,35,4014,15,3,1,4,4,3,3,3,1,23,3,3,1,3,2,2,2,2,"0","1","Medical","Travel_Rarely","Research & Development","Married","Laboratory Technician",30,1142,16002
0,31,5915,22,4,2,10,4,4,3,4,4,7,2,3,1,3,7,7,1,7,"1","0","Life Sciences","Travel_Rarely","Research & Development","Divorced","Laboratory Technician",48,655,9528
0,37,5993,18,3,2,7,4,1,2,3,3,1,4,2,1,1,7,5,0,7,"1","0","Life Sciences","Travel_Rarely","Research & Development","Divorced","Manufacturing Director",51,1115,2689
0,32,6162,22,4,2,9,3,1,3,2,4,1,3,3,1,1,9,8,7,8,"1","1","Medical","Travel_Rarely","Research & Development","Married","Manufacturing Director",33,427,10877
0,38,2406,11,3,2,10,5,4,2,4,4,29,3,3,0,1,10,3,9,9,"0","0","Life Sciences","Travel_Frequently","Research & Development","Single","Laboratory Technician",50,653,5456
0,50,18740,12,3,5,29,2,2,2,4,3,7,2,2,1,5,27,3,13,8,"0","1","Medical","Travel_Rarely","Research & Development","Divorced","Research Director",43,989,16701
0,59,7637,11,3,3,28,3,1,3,4,1,25,2,3,0,7,21,16,7,9,"0","0","Life Sciences","Travel_Rarely","Sales","Single","Sales Executive",99,1435,2354
0,36,10096,13,3,3,17,3,3,2,2,3,8,3,3,3,1,17,14,12,8,"0","0","Technical Degree","Travel_Rarely","Research & Development","Divorced","Healthcare Representative",59,1223,8202
0,55,14756,14,3,4,21,3,4,2,3,3,8,3,3,3,2,5,0,0,2,"0","1","Medical","Travel_Rarely","Research & Development","Divorced","Manager",33,836,19730
0,36,6499,13,3,2,6,3,2,3,3,2,11,3,2,0,1,6,5,0,3,"1","0","Life Sciences","Travel_Frequently","Research & Development","Single","Manufacturing Director",95,1195,22656
0,45,9724,17,3,3,25,3,2,2,3,1,7,3,3,1,2,1,0,0,0,"1","0","Life Sciences","Travel_Rarely","Research & Development","Divorced","Research Scientist",59,1339,18787
0,35,2194,13,3,1,5,3,2,2,4,1,1,2,3,1,4,3,2,1,2,"1","0","Medical","Travel_Frequently","Research & Development","Married","Research Scientist",79,664,5868
1,36,3388,17,3,1,2,3,4,0,1,3,9,2,2,1,0,1,0,0,0,"1","1","Medical","Travel_Rarely","Research & Development","Married","Research Scientist",79,318,21777
0,59,5473,11,3,2,20,1,1,2,4,3,1,2,2,0,7,4,3,1,3,"0","0","Life Sciences","Travel_Frequently","Sales","Single","Sales Executive",57,1225,24668
0,29,2703,23,4,1,6,3,3,3,4,2,2,3,3,1,0,5,4,0,4,"1","0","Life Sciences","Travel_Rarely","Research & Development","Married","Research Scientist",76,1328,4956
0,31,2501,17,3,1,1,4,3,4,2,2,1,3,3,0,1,1,1,1,0,"1","0","Medical","Travel_Rarely","Research & Development","Single","Research Scientist",87,1082,18775
0,32,6220,17,3,2,10,3,2,3,2,2,1,3,3,2,1,10,4,0,9,"1","0","Life Sciences","Travel_Rarely","Research & Development","Married","Research Scientist",66,548,7346
0,36,3038,12,3,1,5,3,2,3,2,4,6,3,4,0,3,1,0,0,0,"0","0","Life Sciences","Travel_Rarely","Research & Development","Married","Laboratory Technician",55,132,22002
0,31,4424,23,4,2,11,4,3,2,4,4,8,3,3,0,1,11,7,1,8,"0","0","Life Sciences","Travel_Rarely","Research & Development","Single","Manufacturing Director",61,746,20682
0,35,4312,14,3,2,16,4,3,2,2,1,1,3,2,0,0,15,13,2,8,"1","0","Marketing","Travel_Rarely","Sales","Single","Sales Executive",32,776,23016
0,45,13245,14,3,3,17,4,4,3,2,1,6,4,3,0,4,0,0,0,0,"1","1","Other","Travel_Rarely","Research & Development","Married","Research Director",52,193,15067
0,37,13664,13,3,3,16,4,1,3,1,3,7,4,3,0,4,5,2,0,2,"1","0","Medical","Travel_Rarely","Research & Development","Single","Research Director",30,397,25258
0,46,5021,22,4,2,16,2,2,2,4,2,5,3,3,1,8,4,2,0,2,"1","1","Medical","Travel_Rarely","Human Resources","Divorced","Human Resources",80,945,10425
0,30,5126,12,3,2,10,1,4,1,3,4,1,2,2,2,1,10,8,3,0,"1","1","Life Sciences","Travel_Rarely","Research & Development","Married","Laboratory Technician",55,852,15998
0,35,2859,18,3,1,6,3,2,3,1,3,1,3,2,0,1,6,4,0,4,"1","0","Medical","Travel_Rarely","Research & Development","Single","Research Scientist",30,1214,26278
0,55,10239,14,3,3,24,2,1,4,4,4,1,3,3,1,3,1,0,1,0,"1","0","Life Sciences","Travel_Rarely","Sales","Married","Sales Executive",70,111,18092
0,38,5329,12,3,2,17,3,2,3,4,4,6,3,1,3,7,13,11,1,9,"0","1","Medical","Non-Travel","Research & Development","Divorced","Research Scientist",79,573,15717
0,34,4325,15,3,2,5,2,1,2,3,2,1,3,3,0,1,5,2,1,3,"1","0","Medical","Travel_Rarely","Research & Development","Married","Manufacturing Director",94,1153,17736
0,56,7260,11,3,3,37,3,4,3,1,4,7,2,1,0,4,6,4,0,2,"1","0","Life Sciences","Travel_Rarely","Research & Development","Single","Manufacturing Director",49,1400,21698
0,23,2322,13,3,1,3,1,3,3,3,1,2,3,3,1,3,0,0,0,0,"1","0","Technical Degree","Travel_Rarely","Sales","Divorced","Sales Representative",62,541,9518
0,51,2075,23,4,1,10,4,4,4,2,4,9,3,3,2,3,4,2,0,3,"1","0","Life Sciences","Travel_Rarely","Research & Development","Married","Laboratory Technician",96,432,18725
0,30,4152,19,3,2,11,3,3,3,1,4,2,3,2,3,1,11,10,10,8,"1","0","Life Sciences","Travel_Rarely","Research & Development","Married","Healthcare Representative",99,288,15830
1,46,9619,16,3,3,9,2,3,3,4,4,9,3,2,0,1,9,8,4,7,"1","0","Medical","Travel_Rarely","Sales","Single","Sales Executive",64,669,13596
0,40,13503,22,4,4,22,4,3,3,4,2,1,2,2,1,1,22,3,11,11,"1","0","Life Sciences","Travel_Frequently","Research & Development","Married","Healthcare Representative",78,530,14115
0,51,5441,22,4,2,11,4,3,2,4,4,21,1,3,0,0,10,7,1,0,"1","1","Marketing","Travel_Rarely","Sales","Single","Sales Executive",71,632,8423
0,30,5209,12,3,2,11,2,3,4,2,2,4,2,2,3,1,11,8,2,7,"0","1","Medical","Travel_Rarely","Sales","Divorced","Sales Executive",63,1334,19760
0,46,10673,13,3,3,21,3,3,5,3,1,1,2,2,1,2,10,9,9,5,"1","1","Medical","Travel_Frequently","Research & Development","Married","Healthcare Representative",40,638,3142
0,32,5010,16,3,2,12,4,2,0,1,3,6,3,3,0,1,11,8,5,7,"1","0","Medical","Travel_Rarely","Sales","Single","Sales Executive",87,1093,24301
0,54,13549,12,3,3,16,4,1,5,1,3,2,1,3,1,9,4,3,0,3,"0","0","Technical Degree","Travel_Rarely","Research & Development","Married","Research Director",60,1217,24001
0,24,4999,21,4,2,4,2,1,2,1,3,3,2,3,1,0,3,2,0,2,"0","0","Other","Travel_Rarely","Sales","Married","Sales Executive",33,1353,17519
0,28,4221,15,3,2,5,3,2,3,2,3,4,4,3,0,1,5,4,0,4,"1","0","Medical","Non-Travel","Sales","Married","Sales Executive",43,120,8863
0,58,13872,13,3,4,38,4,4,1,3,3,10,2,3,0,0,37,10,1,8,"1","0","Medical","Travel_Rarely","Sales","Single","Sales Executive",37,682,24409
0,44,2042,12,3,2,17,3,2,3,3,2,23,4,3,1,4,3,2,1,2,"1","0","Medical","Non-Travel","Research & Development","Married","Laboratory Technician",67,489,25043
1,37,2073,22,4,1,7,4,3,3,4,1,6,3,3,0,4,3,2,0,2,"1","1","Human Resources","Travel_Rarely","Human Resources","Divorced","Human Resources",63,807,23648
0,32,2956,13,3,1,1,1,4,2,4,1,1,3,3,0,1,1,0,0,0,"1","0","Life Sciences","Travel_Rarely","Research & Development","Single","Research Scientist",71,827,15178
1,20,2926,18,3,1,1,3,4,5,2,4,6,3,2,0,1,1,0,1,0,"0","1","Life Sciences","Travel_Frequently","Research & Development","Single","Laboratory Technician",66,871,19783
0,34,4809,14,3,2,16,4,1,3,3,3,6,3,3,0,1,16,13,2,10,"0","0","Other","Travel_Rarely","Research & Development","Single","Research Scientist",41,665,12482
0,37,5163,14,3,2,17,2,3,2,4,4,2,4,2,1,5,1,0,0,0,"1","0","Life Sciences","Non-Travel","Research & Development","Divorced","Healthcare Representative",100,1040,15850
0,59,18844,21,4,5,30,4,3,3,4,4,2,3,2,1,9,3,2,2,2,"0","0","Human Resources","Non-Travel","Human Resources","Married","Manager",32,1420,21922
0,50,18172,19,3,5,28,3,1,1,1,2,1,2,3,0,3,8,3,0,7,"0","1","Life Sciences","Travel_Frequently","Research & Development","Married","Research Director",73,1115,9755
1,25,5744,11,3,2,6,3,3,1,4,3,5,3,2,0,1,6,4,0,3,"1","1","Marketing","Travel_Rarely","Sales","Single","Sales Executive",46,240,26959
0,25,2889,11,3,1,2,1,4,2,3,4,7,3,2,2,1,2,2,2,1,"1","0","Medical","Travel_Rarely","Research & Development","Married","Research Scientist",64,1280,26897
0,22,2871,15,3,1,1,3,2,5,3,4,15,3,3,0,1,0,0,0,0,"0","0","Medical","Travel_Rarely","Research & Development","Single","Laboratory Technician",59,534,23785
0,51,7484,20,4,3,23,4,1,1,3,1,1,2,2,0,3,13,12,12,8,"0","0","Medical","Travel_Frequently","Research & Development","Single","Healthcare Representative",30,1456,25796
1,34,6074,24,4,2,9,3,1,3,4,3,7,3,1,0,1,9,7,0,6,"1","1","Life Sciences","Travel_Frequently","Research & Development","Single","Laboratory Technician",66,658,22887
0,54,17328,12,3,4,23,3,4,3,3,4,26,3,4,0,2,5,3,4,4,"0","1","Human Resources","Non-Travel","Human Resources","Single","Manager",30,142,13871
0,24,2774,12,3,1,6,1,2,2,3,3,18,3,3,1,0,5,3,1,2,"1","0","Life Sciences","Travel_Rarely","Research & Development","Married","Laboratory Technician",52,1127,13257
0,34,4505,15,3,2,12,4,3,3,3,2,6,3,2,1,6,1,0,0,0,"0","0","Life Sciences","Travel_Rarely","Research & Development","Divorced","Research Scientist",45,1031,15000
0,37,7428,12,3,3,12,3,3,3,1,4,3,3,3,0,2,5,3,1,3,"1","0","Life Sciences","Travel_Rarely","Sales","Single","Sales Executive",87,1189,14506
0,34,11631,12,3,3,14,3,3,6,4,1,5,3,2,0,2,11,10,5,8,"0","0","Medical","Travel_Rarely","Research & Development","Single","Manager",45,1354,5615
0,36,9738,14,3,3,10,2,2,6,3,4,11,3,3,1,0,9,7,2,8,"0","0","Technical Degree","Travel_Frequently","Sales","Married","Sales Executive",92,1467,22952
0,36,2835,22,4,1,7,2,1,2,1,4,3,3,3,1,5,1,0,0,0,"0","0","Life Sciences","Travel_Rarely","Research & Development","Divorced","Laboratory Technician",39,922,2561
0,43,16959,12,3,4,25,2,3,3,4,4,26,4,3,2,1,25,12,4,12,"1","1","Life Sciences","Travel_Frequently","Sales","Married","Manager",92,394,19494
0,30,2613,25,4,1,10,3,1,2,3,3,23,2,1,3,1,10,7,0,9,"1","0","Life Sciences","Travel_Frequently","Research & Development","Divorced","Research Scientist",96,1312,22310
0,33,6146,13,3,2,8,2,3,2,1,2,22,4,3,1,0,7,7,0,7,"1","0","Marketing","Non-Travel","Sales","Married","Sales Executive",95,750,15480
1,56,4963,18,3,1,7,4,2,2,1,2,14,3,3,3,9,5,4,4,3,"0","1","Life Sciences","Travel_Rarely","Research & Development","Married","Research Scientist",72,441,4510
0,51,19537,13,3,5,23,3,1,5,3,3,6,3,3,0,7,20,18,15,15,"1","0","Life Sciences","Travel_Rarely","Research & Development","Single","Research Director",51,684,6462
1,31,6172,18,3,2,12,4,2,3,2,3,6,2,1,0,4,7,7,7,7,"1","1","Life Sciences","Travel_Rarely","Sales","Married","Sales Executive",76,249,20739
0,26,2368,19,3,1,5,3,3,3,3,2,6,2,2,0,1,5,4,4,3,"0","0","Other","Travel_Rarely","Research & Development","Married","Research Scientist",46,841,23300
1,58,10312,12,3,3,40,4,4,3,4,4,23,2,3,1,1,40,10,15,6,"0","0","Medical","Travel_Rarely","Research & Development","Married","Healthcare Representative",94,147,3465
1,19,1675,19,3,1,0,1,4,2,4,3,22,2,3,0,1,0,0,0,0,"1","1","Marketing","Travel_Rarely","Sales","Single","Sales Representative",50,528,26820
0,22,2523,14,3,1,3,1,3,2,3,4,2,3,3,1,0,2,1,2,1,"1","0","Technical Degree","Travel_Rarely","Research & Development","Married","Laboratory Technician",100,594,19299
0,49,6567,14,3,2,16,4,3,2,3,1,20,2,3,0,1,15,11,5,11,"0","0","Medical","Travel_Rarely","Research & Development","Married","Manufacturing Director",96,470,5549
0,43,4739,12,3,1,18,3,2,2,4,3,28,3,4,0,4,3,2,1,2,"0","0","Medical","Travel_Frequently","Research & Development","Single","Research Scientist",72,957,16090
0,50,9208,11,3,3,16,3,3,3,4,4,12,3,3,0,4,2,2,2,1,"0","0","Marketing","Travel_Frequently","Sales","Single","Sales Executive",77,809,6645
1,31,4559,11,3,2,4,3,2,2,3,3,20,3,1,1,3,2,2,2,2,"0","1","Life Sciences","Travel_Rarely","Sales","Married","Sales Executive",71,542,24788
0,41,8189,13,3,3,12,1,3,2,3,3,9,3,3,1,3,9,7,0,7,"1","1","Life Sciences","Travel_Rarely","Sales","Divorced","Sales Executive",96,802,21196
0,26,2942,23,4,1,8,1,3,3,4,3,25,3,3,1,1,8,7,5,7,"0","0","Life Sciences","Travel_Rarely","Human Resources","Married","Human Resources",61,1355,8916
0,36,4941,20,4,2,7,2,2,0,4,2,6,3,3,2,6,3,2,0,1,"1","0","Medical","Travel_Rarely","Research & Development","Divorced","Manufacturing Director",84,216,2819
1,51,10650,15,3,3,18,4,1,2,4,4,8,3,1,0,2,4,2,0,3,"1","0","Life Sciences","Travel_Frequently","Research & Development","Single","Manufacturing Director",53,1150,25150
0,39,5902,14,3,2,17,4,4,1,3,3,4,4,2,1,4,15,11,5,9,"0","0","Life Sciences","Travel_Rarely","Sales","Married","Sales Executive",47,1329,14590
0,25,8639,18,3,2,6,3,1,3,4,3,28,3,2,0,2,2,2,2,2,"1","0","Life Sciences","Travel_Rarely","Sales","Married","Sales Executive",41,959,24835
0,30,6347,19,3,2,12,3,3,2,4,4,9,1,3,0,0,11,9,4,7,"1","1","Human Resources","Travel_Rarely","Human Resources","Married","Human Resources",48,1240,13982
1,32,4200,22,4,1,10,3,1,2,1,1,9,4,3,0,7,5,4,0,4,"0","0","Medical","Travel_Rarely","Research & Development","Single","Laboratory Technician",41,1033,10224
0,45,3452,13,3,1,9,3,3,2,2,4,29,2,3,0,5,6,5,0,3,"1","0","Medical","Travel_Rarely","Research & Development","Single","Research Scientist",83,1316,9752
0,38,4317,20,4,2,19,5,4,2,2,3,3,3,3,0,3,3,2,2,2,"0","1","Technical Degree","Travel_Rarely","Research & Development","Single","Research Scientist",32,364,2302
0,30,2632,14,3,1,5,3,1,4,3,3,18,2,3,0,1,5,4,0,4,"0","0","Life Sciences","Travel_Rarely","Research & Development","Single","Research Scientist",75,438,23910
0,32,4668,17,3,2,9,2,4,2,4,4,9,4,1,3,0,8,7,0,7,"1","0","Medical","Travel_Frequently","Sales","Divorced","Sales Executive",35,689,22812
0,30,3204,14,3,1,8,3,4,3,4,1,5,3,3,1,5,3,2,2,2,"0","0","Technical Degree","Travel_Rarely","Research & Development","Divorced","Research Scientist",84,201,10415
0,30,2720,13,3,1,6,1,2,3,4,4,2,3,2,0,0,5,3,1,2,"1","0","Medical","Travel_Rarely","Research & Development","Single","Laboratory Technician",35,1427,11162
0,41,17181,13,3,4,21,3,4,2,2,1,10,2,2,1,4,7,6,7,7,"1","0","Life Sciences","Travel_Frequently","Research & Development","Divorced","Manager",91,857,12888
0,41,2238,21,4,1,7,4,3,2,4,1,9,3,3,1,2,5,0,1,4,"1","0","Life Sciences","Travel_Rarely","Research & Development","Married","Laboratory Technician",94,933,6961
0,19,1483,14,3,1,1,1,2,3,4,2,3,3,3,0,1,1,0,0,0,"0","0","Medical","Travel_Rarely","Research & Development","Single","Laboratory Technician",79,1181,16102
0,40,5605,11,3,2,20,3,2,2,1,2,26,3,3,1,1,20,7,2,13,"0","0","Medical","Travel_Frequently","Research & Development","Divorced","Research Scientist",54,1395,8504
0,35,7295,13,3,3,10,5,3,3,1,2,1,3,3,2,1,10,8,0,6,"1","0","Marketing","Travel_Rarely","Sales","Married","Sales Executive",94,662,11439
0,53,2306,20,4,2,13,2,2,3,4,3,6,1,3,1,2,7,7,4,5,"1","1","Marketing","Travel_Rarely","Sales","Married","Sales Representative",34,1436,16047
0,45,2348,18,3,2,20,3,2,2,3,2,9,1,3,1,8,17,9,0,15,"1","0","Life Sciences","Travel_Rarely","Research & Development","Divorced","Laboratory Technician",60,194,10901
0,32,8998,14,3,3,9,3,2,2,4,4,8,3,3,0,1,9,8,3,7,"0","0","Marketing","Travel_Frequently","Sales","Single","Sales Executive",43,967,15589
0,29,4319,13,3,2,10,1,4,1,1,3,1,3,3,1,1,10,7,0,9,"1","0","Technical Degree","Non-Travel","Research & Development","Married","Manufacturing Director",41,1496,26283
